'kang'gan'ling 抗感灵
'mei'si'nei 美司那
'fu'fang'an'ji'bi'lin'zhu 复方氨基比林注
'zi'shi 梓实
'si'huan'su'yan'gao 四环素眼膏
'shen'gong'nei'tuo'san 神功内托散
'guo'tang'lin'suan'na 果糖磷酸钠
'yi'zi'jiu'ku'san 一字救苦散
'xue'luo'tong'jiao'nang 血络通胶囊
'xie'luo'tong'jiao'nang 血络通胶囊
'xue'lao'tong'jiao'nang 血络通胶囊
'xie'lao'tong'jiao'nang 血络通胶囊
'gui'mi'tang 桂蜜汤
'gui'mi'shang 桂蜜汤
'ka'ba'dan'jian 卡巴胆碱
'qing'kong'tang 青空汤
'qing'kong'shang 青空汤
'yan'suan'na'luo'tong'zhu'she'ye 盐酸纳洛酮注射液
'qing'hao'zi 青蒿子
'fu'fang'lv'bing'na'lin'xiu 复方氯丙那林溴
'fu'fang'lv'bing'ne'lin'xiu 复方氯丙那林溴
'fu'fang'lv'bing'nei'lin'xiu 复方氯丙那林溴
'wan'can'sha'jin'jiu 晚蚕沙浸酒
'bai'gou'teng 白钩藤
'liang'qi'liao 两栖蓼
'liang'xi'liao 两栖蓼
'liang'qi'lu 两栖蓼
'liang'xi'lu 两栖蓼
'mao'man'tuo'luo 毛曼陀罗
'shen'shu'ke'li'wu'tang'xing 肾舒颗粒无糖型
'ji'yu'dan'gao 鲫鱼胆膏
'ge'lei'guo'shi 葛藟果实
'tao'nu'wan 桃奴丸
'cu'mei'sha'duo 醋美沙朵
'zhen'po'huo'ming'dan 珍珀活命丹
'can'gan'gui'shao'gua'lou'tang 参甘归芍瓜蒌汤
'shen'gan'gui'shao'gua'lou'tang 参甘归芍瓜蒌汤
'cen'gan'gui'shao'gua'lou'tang 参甘归芍瓜蒌汤
'san'gan'gui'shao'gua'lou'tang 参甘归芍瓜蒌汤
'can'gan'gui'shao'gua'lou'shang 参甘归芍瓜蒌汤
'shen'gan'gui'shao'gua'lou'shang 参甘归芍瓜蒌汤
'cen'gan'gui'shao'gua'lou'shang 参甘归芍瓜蒌汤
'san'gan'gui'shao'gua'lou'shang 参甘归芍瓜蒌汤
'huo'xue'chu'feng'tang 活血除风汤
'huo'xue'chu'feng'shang 活血除风汤
'shan'zha'jiang'ya'pian 山楂降压片
'can'lan 参蓝
'shen'lan 参蓝
'cen'lan 参蓝
'san'lan 参蓝
'jian'feng'xiao 见风消
'fen'gan'you 酚甘油
'su'ting'ding'chuan'wan 苏葶定喘丸
'jie'yin'zhi'yang 洁阴止痒
'fu'pai'sai'dun 氟哌噻吨
'ning'fei'tang 宁沸汤
'ning'fei'shang 宁沸汤
'san'qi'cha 三七茶
'tuo'xi'xiu'bian'an 托西溴苄铵
'hua'lian'xi'xin 花脸细辛
'zhu'lin'biao 竹林标
'kun'sui'gao 坤髓膏
'xiao'ju'zi'jin 小距紫堇
'zhi'yao'chu'shi'tang 治要除湿汤
'zhi'yao'chu'shi'shang 治要除湿汤
'jin'shi'li'de 金世力德
'wu'dou'wan 乌豆丸
'fei'li'ke'he'ji 肺力咳合剂
'fei'li'hai'he'ji 肺力咳合剂
'fu'zheng'jiang'jie'tang 扶正降结汤
'fu'zheng'xiang'jie'tang 扶正降结汤
'fu'zheng'jiang'jie'shang 扶正降结汤
'fu'zheng'xiang'jie'shang 扶正降结汤
'pi'pa'ye'san 枇杷叶散
'yi'kun'ning'ding 益坤宁酊
'he'cheng'yi'hao'zhi'xue'zhu 合成一号止血注
'hai'meng'wei'ning 海盟维宁
'hai'ming'wei'ning 海盟维宁
'jiao'zhuang'er'jue 角状耳蕨
'fu'ke'yang'rong'jiao'nang 妇科养荣胶囊
'cu'suan'ke'di'song'pian 醋酸可的松片
'chang'shan'gui'xin'wan 常山桂心丸
'di'wu'san'tie'zao'gan 地乌三萜皂苷
'de'wu'san'tie'zao'gan 地乌三萜皂苷
'jie'gu'xiao 接骨消
'yan'suan'zuo'xuan'mi'zuo'bao 盐酸左旋咪唑宝
'zhui'feng'chu'shi'jiu 追风除湿酒
'fu'fang'cao'yu'mei 复方草玉梅
'kang'zai'chun'pian 糠甾醇片
'shou'wu'ji'sheng'ji'dan'tang 首乌寄生鸡蛋汤
'zhu'tou'san 猪头散
'di'ren'gen 地稔根
'de'ren'gen 地稔根
'shou'tui'zhen 瘦腿针
'qian'lie'long'bi'tong 前列癃闭通
'you'xuan'bu'luo'fen'shuan 右旋布洛芬栓
'ge'ping 格平
'er'xiu'lv'bing'wan 二溴氯丙烷
'yan'xian'an'pian 烟酰胺片
'huai'yao 怀药
'zhu'sha'liang'ge'wan 朱砂凉膈丸
'run'fei'gao'wan 润肺膏丸
'hai'she'yao 海蛇药
'xie'ye 薤叶
'xie'xie 薤叶
'xing'ren'hua'shi'tang 杏仁滑石汤
'xing'ren'hua'shi'shang 杏仁滑石汤
'guan'nan'xiang 管南香
'guan'na'xiang 管南香
'shan'guo 杉果
'sha'guo 杉果
'fu'fang'zi'su'you 复方紫苏油
'hong'gen 红根
'tong'ren'tang'er'gan'qing'kou'fu 同仁堂儿感清口服
'chuan'ke'shu 喘咳舒
'chuan'hai'shu 喘咳舒
'yi'duo'zhi 益多酯
'yan'she'san 盐蛇散
'yan'yi'san 盐蛇散
'chai'hu'hou'sheng'tang 柴胡后生汤
'chai'hu'hou'sheng'shang 柴胡后生汤
'shen'pi'shuang'bu'kou'fu'ye 肾脾双补口服液
'e'chang'cao 鹅肠草
'ru'bai'xiang'qing 乳白香青
'shu'le'an'ding'zhu'she'ye 舒乐安定注射液
'ru'kuai'xiao'jiao'nang 乳快消胶囊
'bie'dan 鳖胆
'qi'long'tong'luo 芪龙通络
'dun'fu'wan 敦阜丸
'dui'fu'wan 敦阜丸
'zi'yin'qing'zao'tang 滋阴清燥汤
'zi'yin'qing'zao'shang 滋阴清燥汤
'ba'feng'xu'ming'tang 八风续命汤
'ba'feng'xu'ming'shang 八风续命汤
'ti'bi'fu'ding'kou'fu'rong'ye 替比夫定口服溶液
'yi'ke'li'ding 异可利定
'fu'fang'song'chun'na'min'pian 复方松醇那敏片
'fu'fang'song'chun'ne'min'pian 复方松醇那敏片
'fu'fang'song'chun'nei'min'pian 复方松醇那敏片
'mian'yi'zeng'qiang'yao 免疫增强药
'she'yin'tang 摄阴汤
'nie'yin'tang 摄阴汤
'she'yin'shang 摄阴汤
'nie'yin'shang 摄阴汤
'er'chen'si'qi'tang 二陈四七汤
'er'chen'si'qi'shang 二陈四七汤
'an'ka'huang'min'kou'fu'ye 氨咖黄敏口服液
'an'ga'huang'min'kou'fu'ye 氨咖黄敏口服液
'kang'wei'su 康胃素
'fei'an'zhi 非氨酯
'xiao'cong'hong'jing'tian 小丛红景天
'cang'zhu'di'yu'tang 苍朮地榆汤
'cang'zhu'di'yu'shang 苍朮地榆汤
'cang'shu'di'yu'tang 苍朮地榆汤
'cang'shu'di'yu'shang 苍朮地榆汤
'wu'ji'wan 乌鸡丸
'du'huang'san 独黄散
'gao'wu'jia'su'zhu'she'ye 高乌甲素注射液
'yan'suan'fu'gui'qin'pian 盐酸氟桂嗪片
'du'zhang'san 度瘴散
'duo'zhang'san 度瘴散
'er'lv'ben'huang'an 二氯苯磺胺
'xiao'zhi'zhi'tong'wan 消滞止痛丸
'li'sha'lin 利莎林
'li'suo'lin 利莎林
'xiao'er'zhi'xie'pian 小儿止泻片
'yan'suan'jin'mei'su 盐酸金霉素
'nai'fu'xi'lin'na 萘夫西林钠
'zhuo'mai 卓迈
'chi'xiao'dou'dang'gui'san 赤小豆当归散
'fu'yin'tai 肤阴泰
'hong'mao'she 红毛蛇
'hong'mao'yi 红毛蛇
'bi'yuan'jiao'nang 鼻渊胶囊
'lv'mei'su'zhu'she'ye 氯霉素注射液
'te'fen'wei'ma'pian 特酚伪麻片
'he'lao 核酪
'hu'lao 核酪
'bai'zhi'xi'xin'chui'bi'san 白芷细辛吹鼻散
'zu'yu'yao 足浴药
'mei'di'kang 美迪康
'jing'jie'dan 荆芥丹
'ku'cao'gan'jun'er'lian'huo'jun'ke'li 枯草杆菌二联活菌颗粒
'dian'jiang'san'qi 滇姜三七
'ya'liu'suan'qing'na'jia'nai'kun 亚硫酸氢钠甲萘昆
'fu'fang'yan'suan'pu'lu'ka 复方盐酸普鲁卡
'fu'fang'yan'suan'pu'lu'qia 复方盐酸普鲁卡
'yang'xue'zi'yin'tang 养血滋阴汤
'yang'xue'zi'yin'shang 养血滋阴汤
'gui'ling'gao 龟苓膏
'luo'han'guo'yu'zhu'chong'ji 罗汉果玉竹冲剂
'xuan'feng'wan 宣风丸
'an'fen'jia'liu'an'suan'jiao 氨酚甲硫氨酸胶
'yang'chun'yu 阳春玉
'qing'guo'zhi'sou'wan 青果止嗽丸
'liang'xue'gong'du'yin 凉血攻毒饮
'liang'xue'gong'dai'yin 凉血攻毒饮
'zhong'feng'hui'chun'ke'li 中风回春颗粒
'yu'mei'ke'li 愈美颗粒
'yue'kang 乐亢
'yue'kang 乐亢
'lao'kang 乐亢
'qiang'jia'zuo'lin 羟甲唑啉
'she'xiang'jie'gu'jiao'nang 麝香接骨胶囊
'qin'jiao'ren'shen'tang 秦艽人参汤
'ji'xue'teng'jiao'nang 鸡血藤胶囊
'ke'chuan'zhi'xue'tang 咳喘止血汤
'ke'chuan'zhi'xue'shang 咳喘止血汤
'an'lu'yin 安露饮
'an'lou'yin 安露饮
'xuan'hu'san 玄胡散
'ka'ba'ke'luo'pian 卡巴克络片
'ka'ba'ke'lao'pian 卡巴克络片
'fang'xi'jiao'nang 方希胶囊
'shi'wei'pian 十维片
'gu'jing'yang'yuan'he'ji 固精养元合剂
'shang'lu'tang 商陆汤
'shang'liu'tang 商陆汤
'shang'lu'shang 商陆汤
'shang'liu'shang 商陆汤
'tiao'ba'zhang 跳八丈
'tao'ba'zhang 跳八丈
'sheng'ren'tang 生人汤
'sheng'ren'shang 生人汤
'xian'jue 线蕨
'dao'shou'xiang 到手香
'rong'gui'bu'shen 茸桂补肾
'shi'wei'yu'quan'pian 十味玉泉片
'xiao'ben'di'ping 硝苯地平
're'shi'jie'xiong'zheng 热实结胸证
'bu'ti'luo'xing 布替罗星
'tai'ding'an'cha'ji 酞丁安搽剂
'tai'zheng'an'cha'ji 酞丁安搽剂
'ai'ning 癌宁
'pan'nan'jin 潘南金
'san'shi'shen'qi'wan 三石肾气丸
'li'lei'te 力雷特
'huang'pao'guo 黄泡果
'bu'yin'yi'yang'tang 补阴益阳汤
'bu'yin'yi'yang'shang 补阴益阳汤
'fu'fang'xi'ling'jie'du'wan 复方西羚解毒丸
'di'jin'cao'pian 地锦草片
'run'hou'tang 润喉汤
'run'hou'shang 润喉汤
'liang'xue'si'wu'tang 凉血四物汤
'pian'tan'kang'fu'wan 偏瘫康复丸
'dao'zha'long 倒扎龙
'suo'luo'ma'bao'ke'li 索罗玛宝颗粒
're'yan'ning'kou'fu'ye 热炎宁口服液
'tan'huo'fang 痰火方
'shu'dao'pian 舒导片
'yun'nan'ye'dang'gui 云南野当归
'can'gui'zai'zao 参桂再造
'shen'gui'zai'zao 参桂再造
'cen'gui'zai'zao 参桂再造
'san'gui'zai'zao 参桂再造
'huo'xue'xu'ming'san 活血续命散
'zhen'xin'an'shen'pian 镇心安神片
'guang'dan 广丹
'an'dan 广丹
'xiao'ban'qing'dai'yin 消斑青黛饮
'wei'yu 鮠鱼
'yan'suan'bei'na'pu'li'pian 盐酸贝那普利片
'yan'suan'bei'ne'pu'li'pian 盐酸贝那普利片
'yan'suan'bei'nei'pu'li'pian 盐酸贝那普利片
'fu'fang'yin'duo'mei'xin'ding 复方吲哚美辛酊
'yan'suan'ang'dan'si'qiong'pu'tao'tang'zhu'she'ye 盐酸昂丹司琼葡萄糖注射液
'fu'jie'shu'xi'ye 妇洁舒洗液
'jin'shui'ji'sheng'dan 金水济生丹
'ban'xia'fen 半夏粉
'le'fen'di'er'ye 乐芬滴耳液
'yue'fen'di'er'ye 乐芬滴耳液
'lao'fen'di'er'ye 乐芬滴耳液
'qi'duo'fu'ding'tang'jiang 齐多夫定糖浆
'chou'cao 臭草
'gu'chang'tang 固肠汤
'gu'chang'shang 固肠汤
'bo'xian'mao'cao 薄腺毛草
'bao'xian'mao'cao 薄腺毛草
'shao'tang'shang'gao 烧烫伤膏
'ju'yi'er'chun'dian'jie'zhi 聚乙二醇电解质
'san'long'tang 散癃汤
'san'long'shang 散癃汤
'dian'nan'hang'zi'shao 滇南杭子梢
'dian'nan'hang'zi'sao 滇南杭子梢
'san'jiu'wei'tai'chong'ji 三九胃泰冲剂
'bu'shen'tiao'jing'tang'ji 补肾调经汤剂
'li'yi'ming 李医明
'cao'ben'zeng'fei'wan 草本增肥丸
'shu'xiong'ke'li 舒胸颗粒
'qian'ma 荨麻
'xun'ma 荨麻
'jiu'zi'di'huang'wan 九子地黄丸
'lai'shi'pu 来士普
'yi'fu'di'sai'mi'song 乙呋地塞米松
'yi'fu'di'se'mi'song 乙呋地塞米松
'qing'dai'san 青黛散
'fu'fang'hei'yang'tai'kou'fu 复方黑羊胎口服
'he'xue'shun'qi'san 和血顺气散
'hai'ma'duo'bian'wan 海马多鞭丸
'chi'qing'ling 赤蜻蛉
'jin'shua'ba 金刷把
'bai'jing 白颈
'bai'geng 白颈
'ba'wang'bian 霸王鞭
'shen'xu'shui'fan'zheng 肾虚水泛证
'huan'bi'si'an'ruan'gao 环吡司胺软膏
'huan'pi'si'an'ruan'gao 环吡司胺软膏
'he'tai'shi'niu'huang'yuan 和太师牛黄圆
'hu'tai'shi'niu'huang'yuan 和太师牛黄圆
'huo'tai'shi'niu'huang'yuan 和太师牛黄圆
'nian'zhu'gen'huang'qin 念珠根黄芩
'si'liu'li'shi'tang 四六利湿汤
'si'liu'li'shi'shang 四六利湿汤
'ti'du'san 提毒散
'di'du'san 提毒散
'ti'dai'san 提毒散
'di'dai'san 提毒散
'ding'huan 丁缓
'zheng'huan 丁缓
'yu'zhi'suan 鱼脂酸
'qu'nie'wan 曲糵丸
'huang'an'mi'ding'hun'xuan'ji 磺胺嘧啶混悬剂
'zhong'hua'ting'zi'biao 中华莛子藨
'zhong'hua'ting'zi'pao 中华莛子藨
'yi'sao'guang'chuang'yao 一扫光疮药
'qian'lie'xian'te'yi'xing'kang'yuan 前列腺特异性抗原
'dang'gui'shi'xiao'san 当归失笑散
'qing'fan'san 青矾散
'dang'gui'shao'yao 当归芍药
'shen'ling'bai'zhu'jiang'gui'tang 参苓白术姜桂汤
'shen'ling'bai'shu'jiang'gui'tang 参苓白术姜桂汤
'shen'ling'bai'zhu'jiang'gui'shang 参苓白术姜桂汤
'shen'ling'bai'shu'jiang'gui'shang 参苓白术姜桂汤
'jia'jian'wu'mei'tang 加减乌梅汤
'jia'jian'wu'mei'shang 加减乌梅汤
'pu'run 普润
'zao'suan'shuang'zhi'na'zhu'she'ye 藻酸双酯钠注射液
'mi'chuan'qiang'huo'san 秘传羌活散
'qian'chui'gao 千捶膏
'liang'tong'run'mu'ye 亮瞳润目液
'bai'shao'yao'tang 白芍药汤
'bai'shao'yao'shang 白芍药汤
'fang'ji 方剂
'fu'chuang'yao 敷疮药
'lai'ke'yi 来克胰
'tong'ke 痛克
'chuan'xi'zhang'ya'cai 川西獐牙菜
'ying'zhi'suan'na 硬脂酸钠
'yi'pi'san 益脾散
'da'ji'yin 大蓟饮
'yan'suan'qiang'qin 盐酸羟嗪
'fu'fang'jia'xiao'zuo'ru'gao 复方甲硝唑乳膏
'qian'jin'zhi'ke'wan 千金止咳丸
'shao'ze 少泽
'shao'shi 少泽
'kang'lao 抗痨
'ma'xing'zhi'ke'ke'li 麻杏止咳颗粒
'kuan'xiong'li'ge 宽胸利膈
'nai'bang 奈邦
'xue'yu'ti'zhi 血瘀体质
'wei'fu'chun 胃复春
'er'shi'wu'wei'zhang'ya'cai'san 二十五味獐牙菜散
'qian'cong 钱葱
'tuo'jia'tang 鼍甲汤
'tuo'jia'shang 鼍甲汤
'zhu'you 猪油
'ce'bai'sheng'jiang'jiu 侧柏生姜酒
'hong'hua'san'yu'tang 红花散瘀汤
'hong'hua'san'yu'shang 红花散瘀汤
'juan'bi'kang'sheng 蠲痹抗生
'tu'chuang'yao 秃疮药
'qu'chong'wan 驱虫丸
'hua'du'xiao'you'tang 化毒消疣汤
'hua'dai'xiao'you'tang 化毒消疣汤
'hua'du'xiao'you'shang 化毒消疣汤
'hua'dai'xiao'you'shang 化毒消疣汤
'nong'suo'shui'niu'jiao 浓缩水牛角
'dian'yan'hu'fen'gao 点眼胡粉膏
'yu'fen'wei'lin'pian 愈酚维林片
'a'da'lin 阿达林
'ying'e 樱额
'xiao'er'zhen'ke 小儿镇咳
'pai'nong'zhi'ke'fang 排脓止渴方
'qu'shu'ping'wei'san 去术平胃散
'qu'zhu'ping'wei'san 去术平胃散
'bai'wei'sun 百尾笋
'bai'yi'sun 百尾笋
'ke'mei'zuo'yin'dao'pao'teng'pian 克霉唑阴道泡腾片
'e'zhu'mu'xiang'san 莪术木香散
'e'shu'mu'xiang'san 莪术木香散
'wo'shu'mu'xiang'san 莪术木香散
'wo'zhu'mu'xiang'san 莪术木香散
'bai'zi'jian'gong'wan 柏子建宫丸
'bo'zi'jian'gong'wan 柏子建宫丸
'xiao'tan'bing'zi 消痰饼子
'hu'gu'xu'duan'jiu 虎骨续断酒
'zhi'ke'ju'hong'jiao'nang 止咳橘红胶囊
'zhan'dao 占稻
'shuang'hu'qing'gan'ke'li 双虎清肝颗粒
'shi're'yun'zheng'zheng 湿热蕴蒸证
'gou'qi'zi 枸杞子
'shao'gan'san 烧肝散
'zi'xue'ke'li 紫雪颗粒
'di'lv'lei'ta'ding'fen'san'pian 地氯雷他定分散片
'de'lv'lei'ta'ding'fen'san'pian 地氯雷他定分散片
'dong'lang'dang'jian'zhu'she'ye 东莨菪碱注射液
'dong'liang'dang'jian'zhu'she'ye 东莨菪碱注射液
'sheng'jing'xiao'guan 生精小管
'qing'du'gao 清毒膏
'zhi'xue'zhen'tong'jiao'nang 止血镇痛胶囊
'yao'yong'mei'gui'hua 药用玫瑰花
'fu'tan 夫坦
'a'mi'ben'zuo 阿米苯唑
'chai'hu'lian'qiao'tang 柴胡连翘汤
'chai'hu'lian'qiao'shang 柴胡连翘汤
'ao'ben'da'zuo 奥苯达唑
'yu'ben'da'zuo 奥苯达唑
'bing'ji'liu'yang'mi'ding 丙基硫氧嘧啶
'niao'bu'qi'ye 鸟不企叶
'niao'fou'qi'ye 鸟不企叶
'niao'bu'qi'xie 鸟不企叶
'niao'fou'qi'xie 鸟不企叶
'huang'lian'yin'zi 黄连饮子
'fu'fang'an'min'hu'zhang'jiao'nang 复方氨敏虎杖胶囊
'run'chang'jian 润肠煎
'deng'zhan'hua'su'pu'tao'tang'zhu'she'ye 灯盏花素葡萄糖注射液
'wai'yong'chong'zu'ren'jian'xing 外用重组人碱性
'zhen'zhu'wei'an'wan 珍珠胃安丸
'jie'yao'jian 截疟煎
'xian'ren'guo 仙人果
'ku'bai'san 苦柏散
'ku'bo'san 苦柏散
'kang'yan'qing 康炎清
'ji'su'lei'kang'zhong'liu'yao 激素类抗肿瘤药
'jiang'pu'wan 姜朴丸
'jiang'piao'wan 姜朴丸
'jiang'po'wan 姜朴丸
'fei'na'xiong'an'pian 非那雄胺片
'kong'tong'tong'chong 空筒筒虫
'an'ji'pu'tao'tang'pian 氨基葡萄糖片
'gan'mao'jie'du'ling'ke'li 感冒解毒灵颗粒
'wu'tui'san 五退散
'fu'fang'yi'mei'ting 复方异美汀
'gui'zhi'zhe'shi'tang 桂枝赭石汤
'gui'zhi'zhe'shi'shang 桂枝赭石汤
'long'hu'hua'du'dan 龙虎化毒丹
'long'hu'hua'dai'dan 龙虎化毒丹
'li'pi'yin'jian 理脾阴煎
'ye'yi'ting 液遗停
'ye'wei'ting 液遗停
'hu'tao'zhi'ma'sang'ye'wan 胡桃芝麻桑叶丸
'yan'suan'a'bi'duo'er 盐酸阿比多尔
'zhu'sha'dian 朱砂点
'fu'fang'wan'nian'qing'jiao'nang 复方万年青胶囊
'ban'xia'gan'jiang'san 半夏干姜散
'hai'ren'cao 海人草
'shen'xiao'shang'gao 神效伤膏
'yin'da'pa'an'jiao'nang 吲达帕胺胶囊
'bei'nuo'zhi 贝诺酯
'mei'chong 眉冲
'lian'ben'bian'zuo'pen'wu'ji 联苯苄唑喷雾剂
'suo'quan 缩醛
'hu'bei'tong'ji'ben'da'e 湖北同济奔达鄂
'yan'suan'xi'di'na'fei 盐酸西地那非
'hui'yan'zhu'yu'tang'jia'jian 会厌逐瘀汤加减
'shui'jie'zhi'wu'dan'bai 水解植物蛋白
'diao'you'zhi'lie'ruan'gao 貂油治裂软膏
'huang'lian'jie'du'he'xi'jiao'di'huang'tang 黄连解毒合犀角地黄汤
'huang'lian'jie'du'ge'xi'jiao'di'huang'tang 黄连解毒合犀角地黄汤
'huang'lian'jie'du'he'xi'jiao'di'huang'shang 黄连解毒合犀角地黄汤
'huang'lian'jie'du'ge'xi'jiao'di'huang'shang 黄连解毒合犀角地黄汤
'san'wei'gai 三维钙
'wei'jia'suan'ru'gao 维甲酸乳膏
'lan'gen'san 蓝根散
'mu'tang 沐汤
'mu'shang 沐汤
'quan'qi 泉奇
'quan'ji 泉奇
'ru'zeng'ning 乳增宁
'lei'dao'shuan'se'zhi'ru 泪道栓塞植入
'lei'dao'shuan'sai'zhi'ru 泪道栓塞植入
'you'mei'sha'fen'fen'san'pian 右美沙芬分散片
'er'shi'wu'wei'lu'jiao'wan 二十五味鹿角丸
'yan'suan'lv'pu'sai'dun'zhu 盐酸氯普噻吨注
'xue'fu'sheng 血复生
'xie'fu'sheng 血复生
'chu'shi'zhi'yang'ruan'gao 除湿止痒软膏
'jia'bing'an'zhi'pian 甲丙氨酯片
'shen'xian'zao 神仙枣
'du'huo'tang 独活汤
'du'huo'shang 独活汤
'duan'li'wan 断痢丸
'zi'sheng'da'zao'wan 资生大造丸
'hai'fu'rong 海芙蓉
'ling'su'dan 灵宿丹
'ling'xiu'dan 灵宿丹
'da'tong'sheng'bai'hua'she'san 大通圣白花蛇散
'rou'gui'qin 肉桂嗪
'tou'bao'lai'xing 头孢来星
'yin'bei'zhi'ke'ke'li 银贝止咳颗粒
'fu'fang'pi'pa'zhi'ke'ke 复方枇杷止咳颗
'jin'tiao 筋条
'fu'yu 凫羽
'nei'meng'gu'yi'tai'dan'long 内蒙古伊泰丹龙
'chu'wen'hua'du'san 除瘟化毒散
'chu'wen'hua'dai'san 除瘟化毒散
'jing'le 经乐
'jing'yue 经乐
'jing'lao 经乐
'han'shui'zai'zao'dan 寒水再造丹
'sheng'mai'tang'jiang'dang'shen'fang 生脉糖浆党参方
'sheng'mo'tang'jiang'dang'shen'fang 生脉糖浆党参方
'can'qi'jiang'tang'pian 参杞降糖片
'shen'qi'jiang'tang'pian 参杞降糖片
'cen'qi'jiang'tang'pian 参杞降糖片
'san'qi'jiang'tang'pian 参杞降糖片
'zhi'de'xiao 痔得消
'zhi'dei'xiao 痔得消
'jian'pi'tang'jiang 健脾糖浆
'duo'liu'hua'an 多硫化铵
'chong'cao'jin'qian'gui 虫草金钱龟
'shi'qi'wei'tian'jing'jiao'nang 十七味填精胶囊
'shi'qi'wei'zhen'jing'jiao'nang 十七味填精胶囊
'luo'xuan'mei'su'jiao'nang 螺旋霉素胶囊
'ma'xing'shi'gan'wan 麻杏石甘丸
'ma'xing'dan'gan'wan 麻杏石甘丸
'pa'ye'run'fei'zhi'ke'gao 杷叶润肺止咳膏
'pa'xie'run'fei'zhi'ke'gao 杷叶润肺止咳膏
'te'er'li 特尔立
'tong'qi'san'jian'wan 通气散坚丸
'jie'geng'zhi'fang 桔梗汁方
'ju'geng'zhi'fang 桔梗汁方
'ling'yang'yin 羚羊饮
'jian'gu'zhu'she'ye 健骨注射液
'cu'suan'fu'qing'song'bing'pian'ru'gao 醋酸氟轻松冰片乳膏
'xiang'chi'wan 香豉丸
'da'luo'gua'ding'ben 哒罗呱丁苯
'da'luo'gu'ding'ben 哒罗呱丁苯
'guan'gui'cao'wu'gao 官桂草乌膏
'cao'mu'hui 草木灰
'yin'da'pa'an'di'wan 吲达帕胺滴丸
'jian'fei'ye 减肥叶
'jian'fei'xie 减肥叶
'nuo'fu'sha'xing'xin'ru'gao 诺氟沙星锌乳膏
'huang'jue'gen 黄桷根
'wu'mu'pi'jiu 五木皮酒
'huo'xiang'er'chen'tang 藿香二陈汤
'xiao'xuan'hua 小旋花
'lin'yun'hu'gu'tang 淋熨虎骨汤
'lin'yu'hu'gu'tang 淋熨虎骨汤
'lin'yun'hu'gu'shang 淋熨虎骨汤
'lin'yu'hu'gu'shang 淋熨虎骨汤
'fu'fang'cen'po'ke'li 复方岑粕颗粒
'xin'yi'bi'yan'wan 辛夷鼻炎丸
'bao'wei'po'tan'wan 保胃破痰丸
'du'hui'tang 督会汤
'du'kuai'tang 督会汤
'du'hui'shang 督会汤
'du'kuai'shang 督会汤
'wu'mei'chi'tang 乌梅豉汤
'wu'mei'chi'shang 乌梅豉汤
'chuan'she'gan 川射干
